year,complete_checklists,mean_winter_temperature,total_winter_rainfall,total_monsoon_rainfall,mean_winter_ndvi
2010,133,22.08,73.84,930.86,0.41
2011,184,22.34,1.21,860.49,0.37
2012,208,22.49,3.34,557.15,0.34
2013,356,21.77,9.17,820.07,0.4
2014,773,22.87,11.4,586.04,0.37
2015,1585,23.11,3.71,529.11,0.35
2016,2402,22.97,0.66,566.88,0.37
2017,3937,22.97,24.61,854.04,0.38
2018,4903,22.34,1.11,457.19,0.34
2019,6348,22.33,26.06,937.31,0.43
2020,9560,22.31,12.66,861.15,0.41
2021,13796,22.03,35.18,689.99,0.42
2022,24612,22.63,4.46,798.69,0.41
2023,35734,23.07,40.52,762.38,0.41
2024,33850,22.76,1.06,888.46,0.41
2025,40288,22.47,7.74,787.33,0.45
