,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Northern Pintail,9.0,2.0,10.0,12.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Greylag Goose,9.0,17.0,21.0,6.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Bar-headed Goose,9.0,26.0,29.0,25.0,19.0,6.0,2.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Common Pochard,10.0,18.0,20.0,6.0,29.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
Common Crane,8.0,2.0,12.0,4.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Demoiselle Crane,8.0,20.0,12.0,6.0,10.0,6.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0
Eurasian Wigeon,9.0,16.0,10.0,6.0,4.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
Dalmatian Pelican,9.0,16.0,9.0,3.0,5.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Great White Pelican,8.0,5.0,9.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Greater Flamingo,4.0,16.0,11.0,1.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0
Northern Shoveler,9.0,2.0,9.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Garganey,9.0,5.0,20.0,29.0,5.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0
