common,scientific,habitat,records,confirmed_years_of_16
Northern Pintail,Anas acuta,wetland,14085,16
Northern Shoveler,Spatula clypeata,wetland,23229,16
Garganey,Spatula querquedula,wetland,9945,16
Eurasian Wigeon,Mareca penelope,wetland,10242,16
Common Pochard,Aythya ferina,wetland,8807,16
Bar-headed Goose,Anser indicus,grassland_dryland,6418,16
Greylag Goose,Anser anser,wetland,12095,16
Common Crane,Grus grus,grassland_dryland,20211,16
Demoiselle Crane,Grus virgo,grassland_dryland,6732,16
Greater Flamingo,Phoenicopterus roseus,wetland,17937,16
Great White Pelican,Pelecanus onocrotalus,wetland,12759,16
Dalmatian Pelican,Pelecanus crispus,wetland,10000,16
