site,species,year,checklists,reported,detection_rate,winter_checklists,winter_detection_rate
Nal Sarovar,Northern Pintail,2010,3,0,0.000,3,0.000
Nal Sarovar,Northern Pintail,2011,4,0,0.000,2,0.000
Nal Sarovar,Northern Pintail,2012,6,0,0.000,2,0.000
Nal Sarovar,Northern Pintail,2013,2,1,0.500,2,0.500
Nal Sarovar,Northern Pintail,2014,24,4,0.167,23,0.174
Nal Sarovar,Northern Pintail,2015,37,5,0.135,14,0.143
Nal Sarovar,Northern Pintail,2016,39,16,0.410,25,0.560
Nal Sarovar,Northern Pintail,2017,91,29,0.319,71,0.366
Nal Sarovar,Northern Pintail,2018,121,32,0.264,73,0.370
Nal Sarovar,Northern Pintail,2019,239,37,0.155,136,0.250
Nal Sarovar,Northern Pintail,2020,343,65,0.190,261,0.215
Nal Sarovar,Northern Pintail,2021,906,112,0.124,506,0.182
Nal Sarovar,Northern Pintail,2022,926,140,0.151,599,0.207
Nal Sarovar,Northern Pintail,2023,1723,201,0.117,1270,0.144
Nal Sarovar,Northern Pintail,2024,2277,265,0.116,1514,0.153
Nal Sarovar,Northern Pintail,2025,2370,215,0.091,1583,0.118
Thol Lake,Bar-headed Goose,2010,3,0,0.000,2,0.000
Thol Lake,Bar-headed Goose,2011,18,2,0.111,8,0.250
Thol Lake,Bar-headed Goose,2012,19,4,0.211,10,0.400
Thol Lake,Bar-headed Goose,2013,41,5,0.122,24,0.125
Thol Lake,Bar-headed Goose,2014,47,10,0.213,30,0.300
Thol Lake,Bar-headed Goose,2015,113,22,0.195,84,0.238
Thol Lake,Bar-headed Goose,2016,102,38,0.373,66,0.409
Thol Lake,Bar-headed Goose,2017,153,63,0.412,118,0.432
Thol Lake,Bar-headed Goose,2018,195,101,0.518,145,0.648
Thol Lake,Bar-headed Goose,2019,165,68,0.412,113,0.566
Thol Lake,Bar-headed Goose,2020,263,54,0.205,117,0.419
Thol Lake,Bar-headed Goose,2021,337,105,0.312,133,0.429
Thol Lake,Bar-headed Goose,2022,475,178,0.375,310,0.494
Thol Lake,Bar-headed Goose,2023,584,174,0.298,379,0.414
Thol Lake,Bar-headed Goose,2024,775,241,0.311,559,0.379
Thol Lake,Bar-headed Goose,2025,717,169,0.236,397,0.411
